gameId,seasonYear,League,homeTeamId,awayTeamId,Date,startTime,status,homeScore,awayScore
9586,2021,standard,27,4,2021-10-22,19:30,Finished,109,114
9587,2021,standard,6,23,2021-10-22,20:00,Finished,128,112
9588,2021,standard,14,25,2021-10-22,20:00,Finished,124,91
9589,2021,standard,9,31,2021-10-22,21:00,Finished,102,96
9590,2021,standard,17,28,2021-10-22,22:00,Finished,105,115
9591,2021,standard,30,40,2021-10-22,22:00,Finished,101,110
9592,2021,standard,7,1,2021-10-23,18:00,Finished,101,95
9593,2021,standard,15,20,2021-10-23,19:00,Finished,102,91
9594,2021,standard,38,8,2021-10-23,19:30,Finished,95,103
9595,2021,standard,6,10,2021-10-23,20:00,Finished,97,82
9596,2021,standard,22,23,2021-10-23,20:00,Finished,96,89
9597,2021,standard,31,21,2021-10-23,20:30,Finished,111,121
9598,2021,standard,29,28,2021-10-23,22:00,Finished,134,105
9599,2021,standard,16,19,2021-10-23,22:30,Finished,114,120
9600,2021,standard,4,5,2021-10-24,16:00,Finished,95,111
9601,2021,standard,24,26,2021-10-24,19:00,Finished,104,110
9602,2021,standard,14,2,2021-10-24,19:00,Finished,97,107
9603,2021,standard,25,27,2021-10-24,19:00,Finished,103,115
9604,2021,standard,30,11,2021-10-24,21:00,Finished,107,119
9605,2021,standard,17,19,2021-10-24,21:30,Finished,121,118
9606,2021,standard,5,2,2021-10-25,19:00,Finished,129,140
9607,2021,standard,15,21,2021-10-25,19:00,Finished,109,119
9608,2021,standard,1,10,2021-10-25,19:30,Finished,122,104
9609,2021,standard,4,41,2021-10-25,19:30,Finished,104,90
9610,2021,standard,20,26,2021-10-25,19:30,Finished,107,90
9611,2021,standard,38,6,2021-10-25,19:30,Finished,108,111
9612,2021,standard,22,23,2021-10-25,20:00,Finished,98,107
9613,2021,standard,9,7,2021-10-25,21:00,Finished,87,99
9614,2021,standard,16,29,2021-10-25,22:30,Finished,116,86
9615,2021,standard,24,27,2021-10-26,19:30,Finished,112,99
9616,2021,standard,25,11,2021-10-26,20:00,Finished,98,106
9617,2021,standard,8,14,2021-10-26,20:30,Finished,116,106
9618,2021,standard,31,17,2021-10-26,20:30,Finished,121,125
9619,2021,standard,40,9,2021-10-26,22:00,Finished,122,110
9620,2021,standard,26,5,2021-10-27,19:00,Finished,111,120
9621,2021,standard,2,41,2021-10-27,19:30,Finished,107,116
9622,2021,standard,4,20,2021-10-27,19:30,Finished,93,106
9623,2021,standard,38,15,2021-10-27,19:30,Finished,118,100
9624,2021,standard,23,1,2021-10-27,19:30,Finished,99,102
8846,2021,standard,21,22,2021-10-27,20:00,Finished,108,113
8847,2021,standard,25,17,2021-10-27,20:00,Finished,123,115
8848,2021,standard,28,30,2021-10-27,22:00,Finished,107,110
8849,2021,standard,29,19,2021-10-27,22:00,Finished,116,96
8850,2021,standard,16,7,2021-10-27,22:30,Finished,79,92
8851,2021,standard,27,10,2021-10-28,19:00,Finished,110,102
9631,2021,standard,41,1,2021-10-28,19:00,Finished,122,111
9632,2021,standard,6,24,2021-10-28,20:00,Finished,103,104
9633,2021,standard,14,40,2021-10-28,20:00,Finished,91,122
9634,2021,standard,8,31,2021-10-28,20:30,Finished,104,99
9635,2021,standard,11,19,2021-10-28,22:00,Finished,101,104
9636,2021,standard,38,26,2021-10-29,19:00,Finished,110,109
9637,2021,standard,4,15,2021-10-29,19:30,Finished,105,98
9638,2021,standard,20,5,2021-10-29,19:30,Finished,114,99
9639,2021,standard,23,30,2021-10-29,20:00,Finished,109,113
