index,LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP,DATE
136,NBA,Royce O`Neale,PF,UTA,UTA@LAL,16.0,6.4,29,2.3,4.9,2.1,4.9,4.3,0.6,0.4,1.0,0.9,0.4,0.76,0.47,2022-01-17
137,NBA,Cameron Payne,PG,PHO,PHO@SA,15.8,8.2,16,3.1,7.3,3.0,2.1,1.8,0.3,0.2,0.5,1.1,0.9,0.87,0.42,2022-01-17
138,NBA,Talen Horton-Tucker,SF,LAL,UTA@LAL,15.8,8.8,23,3.4,7.7,2.2,2.6,2.2,0.4,0.3,0.8,1.3,1.4,0.79,0.44,2022-01-17
139,NBA,Kentavious Caldwell-Pope,SG,WAS,PHI@WAS,15.6,9.7,28,3.4,8.1,1.5,2.8,2.3,0.4,0.3,0.6,0.9,1.2,0.85,0.42,2022-01-17
140,NBA,Kessler Edwards,SF,BKN,BKN@CLE,15.4,8.5,29,3.4,7.6,1.3,3.9,3.2,0.7,0.9,0.8,1.2,0.1,0.94,0.45,2022-01-17
141,NBA,Serge Ibaka,PF,LAC,IND@LAC,15.3,8.3,16,3.4,6.7,1.0,5.0,3.7,1.3,0.7,0.3,1.0,0.8,0.74,0.51,2022-01-17
142,NBA,JaVale McGee,C,PHO,PHO@SA,15.3,8.0,17,3.5,5.7,0.6,5.8,4.2,1.5,0.9,0.4,1.0,1.1,0.65,0.61,2022-01-17
143,NBA,Nassir Little,SF,POR,POR@ORL,15.2,7.6,21,2.7,5.9,1.0,5.0,3.9,1.1,0.7,0.5,0.7,1.2,0.71,0.46,2022-01-17
144,NBA,Obi Toppin,PF,NY,CHA@NY,15.1,8.5,19,3.3,6.4,1.4,3.9,3.1,0.8,0.5,0.4,1.1,1.3,0.78,0.52,2022-01-17
145,NBA,Amir Coffey,PG,LAC,IND@LAC,15.0,7.8,21,2.6,5.5,1.7,3.3,2.8,0.4,0.2,0.6,0.4,1.3,0.84,0.47,2022-01-17
146,NBA,Onyeka Okongwu,C,ATL,MIL@ATL,14.9,6.7,21,2.8,3.9,0.7,5.5,4,1.5,1.4,0.8,1.0,1.2,0.65,0.72,2022-01-17
147,NBA,Doug McDermott,SF,SA,PHO@SA,14.8,10.5,22,3.9,8.6,1.1,2.4,1.9,0.4,0.1,0.2,0.7,0.8,0.78,0.45,2022-01-17
148,NBA,De`Anthony Melton,PG,MEM,CHI@MEM,14.7,6.5,17,2.4,6.4,2.3,3.3,2.6,0.7,0.4,1.0,1.0,0.8,0.77,0.38,2022-01-17
