index,gameId,seasonYear,League,homeTeamId,awayTeamId,startDate,startTime,status,homeScore,awayScore
92,9592,2021,standard,7,1,2021-10-23,18:00,Finished,101,95
93,9593,2021,standard,15,20,2021-10-23,19:00,Finished,102,91
94,9594,2021,standard,38,8,2021-10-23,19:30,Finished,95,103
95,9595,2021,standard,6,10,2021-10-23,20:00,Finished,97,82
96,9596,2021,standard,22,23,2021-10-23,20:00,Finished,96,89
97,9597,2021,standard,31,21,2021-10-23,20:30,Finished,111,121
98,9598,2021,standard,29,28,2021-10-23,22:00,Finished,134,105
99,9599,2021,standard,16,19,2021-10-23,22:30,Finished,114,120
100,9600,2021,standard,4,5,2021-10-24,16:00,Finished,95,111
101,9601,2021,standard,24,26,2021-10-24,19:00,Finished,104,110
102,9602,2021,standard,14,2,2021-10-24,19:00,Finished,97,107
103,9603,2021,standard,25,27,2021-10-24,19:00,Finished,103,115
104,9604,2021,standard,30,11,2021-10-24,21:00,Finished,107,119
105,9605,2021,standard,17,19,2021-10-24,21:30,Finished,121,118
106,9606,2021,standard,5,2,2021-10-25,19:00,Finished,129,140
107,9607,2021,standard,15,21,2021-10-25,19:00,Finished,109,119
108,9608,2021,standard,1,10,2021-10-25,19:30,Finished,122,104
109,9609,2021,standard,4,41,2021-10-25,19:30,Finished,104,90
110,9610,2021,standard,20,26,2021-10-25,19:30,Finished,107,90
111,9611,2021,standard,38,6,2021-10-25,19:30,Finished,108,111
112,9612,2021,standard,22,23,2021-10-25,20:00,Finished,98,107
113,9613,2021,standard,9,7,2021-10-25,21:00,Finished,87,99
114,9614,2021,standard,16,29,2021-10-25,22:30,Finished,116,86
115,9615,2021,standard,24,27,2021-10-26,19:30,Finished,112,99
116,9616,2021,standard,25,11,2021-10-26,20:00,Finished,98,106
117,9617,2021,standard,8,14,2021-10-26,20:30,Finished,116,106
118,9618,2021,standard,31,17,2021-10-26,20:30,Finished,121,125
119,9619,2021,standard,40,9,2021-10-26,22:00,Finished,122,110
120,9620,2021,standard,26,5,2021-10-27,19:00,Finished,111,120
121,9621,2021,standard,2,41,2021-10-27,19:30,Finished,107,116
122,9622,2021,standard,4,20,2021-10-27,19:30,Finished,93,106
123,9623,2021,standard,38,15,2021-10-27,19:30,Finished,118,100
124,9624,2021,standard,23,1,2021-10-27,19:30,Finished,99,102
125,8846,2021,standard,21,22,2021-10-27,20:00,Finished,108,113
126,8847,2021,standard,25,17,2021-10-27,20:00,Finished,123,115
127,8848,2021,standard,28,30,2021-10-27,22:00,Finished,107,110
128,8849,2021,standard,29,19,2021-10-27,22:00,Finished,116,96
129,8850,2021,standard,16,7,2021-10-27,22:30,Finished,79,92
130,8851,2021,standard,27,10,2021-10-28,19:00,Finished,110,102
131,9631,2021,standard,41,1,2021-10-28,19:00,Finished,122,111
132,9632,2021,standard,6,24,2021-10-28,20:00,Finished,103,104
133,9633,2021,standard,14,40,2021-10-28,20:00,Finished,91,122
134,9634,2021,standard,8,31,2021-10-28,20:30,Finished,104,99
135,9635,2021,standard,11,19,2021-10-28,22:00,Finished,101,104
136,9636,2021,standard,38,26,2021-10-29,19:00,Finished,110,109
137,9637,2021,standard,4,15,2021-10-29,19:30,Finished,105,98
138,9638,2021,standard,20,5,2021-10-29,19:30,Finished,114,99
139,9639,2021,standard,23,30,2021-10-29,20:00,Finished,109,113
140,9640,2021,standard,9,8,2021-10-29,22:00,Finished,106,75
141,9641,2021,standard,29,16,2021-10-29,22:00,Finished,111,92
142,9642,2021,standard,17,7,2021-10-29,22:30,Finished,113,101
143,9643,2021,standard,41,2,2021-10-30,17:00,Finished,115,112
144,9644,2021,standard,10,26,2021-10-30,19:00,Finished,110,103
145,9645,2021,standard,23,24,2021-10-30,19:00,Finished,117,123
146,9646,2021,standard,15,38,2021-10-30,19:30,Finished,94,97
147,9647,2021,standard,27,1,2021-10-30,19:30,Finished,122,94
148,9648,2021,standard,6,40,2021-10-30,20:00,Finished,107,99
149,9649,2021,standard,19,20,2021-10-30,20:00,Finished,103,129
150,9650,2021,standard,21,31,2021-10-30,20:00,Finished,93,102
151,9651,2021,standard,11,25,2021-10-30,20:30,Finished,103,82
152,9652,2021,standard,22,9,2021-10-30,21:00,Finished,91,93
153,9653,2021,standard,28,7,2021-10-30,22:00,Finished,101,92
154,9654,2021,standard,8,30,2021-10-31,15:30,Finished,105,99
155,9655,2021,standard,5,29,2021-10-31,19:00,Finished,125,113
156,9656,2021,standard,21,40,2021-10-31,19:00,Finished,95,107
157,9657,2021,standard,4,10,2021-10-31,19:30,Finished,117,91
